European Union - 28 countries;46539653
Belgium;1087270
Bulgaria;275881
Czechia;980597
Denmark;1434170
Germany;9531102
Estonia;42140
Ireland;1543788
Greece;1076924
Spain;2750099
France;12080769
Croatia;432832
Italy;2937806
Cyprus;45832
Latvia;64107
Lithuania;108806
Luxembourg;61037
Hungary;595716
Malta;4789
Netherlands;1576460
Austria;810535
Poland;1972329
Portugal;324681
Romania;820713
Slovenia;122905
Slovakia;116599
Finland;723827
Sweden;982965
United Kingdom;4034974
Iceland;NA
Norway;NA
Switzerland;NA
Turkey;NA
