European Union - 28 countries;1043120656 
Belgium;33260493
Bulgaria;11092651
Czechia;16245554
Denmark;33261214
Germany;212389343
Estonia;2635145
Ireland;34271771
Greece;50170728
Spain;209824089
France;154096485
Croatia;8843053
Italy;144306325
Cyprus;10238913
Latvia;6077854
Lithuania;5246101
Luxembourg;3554730
Hungary;13350029
Malta;6007731
Netherlands;76240304
Austria;28327279
Poland;37684668
Portugal;47673057
Romania;17934774
Slovenia;1682133
Slovakia;2402651
Finland;20054947
Sweden;38456213
United Kingdom;264629454
Iceland;8318734
Norway;38739778
Switzerland;53564943
Turkey;NA
