European Union - 28 countries;5770000
Belgium;584671
Bulgaria;11117
Czechia;88533
Denmark;13452
Germany;1207961
Estonia;3403
Ireland;19528
Greece;81975
Spain;546463
France;368686
Croatia;4691
Italy;578753
Cyprus;12
Latvia;1423
Lithuania;4958
Luxembourg;4946
Hungary;21130
Malta;81
Netherlands;639287
Austria;157399
Poland;216236
Portugal;39318
Romania;592703
Slovenia;4532
Slovakia;42577
Finland;112462
Sweden;252352
United Kingdom;168663
Iceland;59
Norway;328881
Switzerland;NA
Turkey;24717
