European Union - 28 countries;16990000
Belgium;703818
Bulgaria;80419
Czechia;291263
Denmark;114505
Germany;3243475
Estonia;694736
Ireland;141221
Greece;142036
Spain;627643
France;1643640
Croatia;27970
Italy;2628446
Cyprus;4074
Latvia;17189
Lithuania;48265
Luxembourg;30324
Hungary;184053
Malta;21197
Netherlands;1114952
Austria;294030
Poland;2220847
Portugal;238702
Romania;77290
Slovenia;64287
Slovakia;111636
Finland;273353
Sweden;593427
United Kingdom;1356754
Iceland;117901
Norway;368651
Switzerland;NA
Turkey;434839
