European Union - 28 countries;11,24
Belgium;30,99
Bulgaria;1,08
Czechia;0,63
Denmark;4,74
Germany;20,07
Estonia;1,02
Ireland;38,08
Greece;28,23
Spain;17,33
France;13,14
Croatia;5,82
Italy;6,35
Cyprus;36,26
Latvia;4,62
Lithuania;3,8
Luxembourg;32,77
Hungary;1,19
Malta;17,4
Netherlands;0,38
Austria;15,85
Poland;3,01
Portugal;16,37
Romania;3,67
Slovenia;11,96
Slovakia;0,42
Finland;6,23
Sweden;0,27
United Kingdom;6,32
Iceland;0,89
Norway;1,59
Switzerland;NA
Turkey;1,11
