
European Union - 28 countries;4379426
Belgium;30668
Bulgaria;110995
Czechia;78874
Denmark;43162
Germany ;358327
Estonia;45347
Ireland;70601
Greece;131912
Spain;498504
France;549060
Croatia;56539
Italy;301291
Cyprus;9249
Latvia;65519
Lithuania;65412
Luxembourg;2595
Hungary;93013
Malta;315
Netherlands;37824
Austria;83944
Poland;313851
Portugal;88847
Romania;239068
Slovenia;20277
Slovakia;49026
Finland;337547
Sweden;449896
United Kingdom;247763
Iceland;NA
Norway;NA
Switzerland;NA
Turkey;NA
