European Union - 28 countries;17590000
Belgium;715623
Bulgaria;213449
Czechia;430416
Denmark;114585
Germany;2734235
Estonia;42836
Ireland;148536
Greece;256905
Spain;731064
France;1837585
Croatia;65131
Italy;3931868
Cyprus;6222
Latvia;61891
Lithuania;88744
Luxembourg;28917
Hungary;221334
Malta;8658
Netherlands;521658
Austria;371236
Poland;1296322
Portugal;307204
Romania;280235
Slovenia;59273
Slovakia;148697
Finland;87361
Sweden;315976
United Kingdom;2568031
Iceland;7975
Norway;244217
Switzerland;NA
Turkey;658164
