European Union - 28 countries;88446000
Belgium;1780772
Bulgaria;453194
Czechia;1195374
Denmark;929014
Germany (until 1990 former territory of the FRG);18723200
Estonia;231147
Ireland;1038308
Greece;786500
Spain;7534344
France;12920233
Croatia;278068
Italy;NA
Cyprus;NA
Latvia;237275
Lithuania;358745
Luxembourg;137670
Hungary;1260874
Malta;NA
Netherlands;3138000
Austria;1377005
Poland;5847482
Portugal;1709942
Romania;NA
Slovenia;234102
Slovakia;517520
Finland;743629
Sweden;1315078
United Kingdom;11503790
Iceland;51207
Norway;NA
Switzerland;NA
Turkey;NA
